,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,22,0,2491,0,12,0,0,0,0,0,24,0,39,0,1
1,33,1,2727,0,12,1,1,1,0,0,0,0,12,0,1
2,21,2,13188,1,8,2,6,0,0,0,0,0,39,0,1
3,36,2,14354,8,6,1,6,1,1,0,0,0,39,0,1
4,11,2,18120,0,12,1,7,2,1,1,0,0,39,1,1
5,20,2,16567,9,13,1,1,2,0,1,0,0,39,0,1
6,32,2,7982,10,4,3,8,0,1,1,0,0,15,12,1
12,6,2,5399,0,12,0,0,3,0,1,0,0,29,0,1
13,15,2,12364,12,11,0,9,0,1,0,0,0,49,0,1
15,17,2,14951,14,3,1,11,1,3,0,0,0,44,36,1
16,8,1,9507,1,8,0,12,3,0,0,0,0,34,0,1
17,15,2,10533,1,8,0,13,4,0,0,0,0,39,0,1
18,21,2,292,8,6,1,9,1,0,0,0,0,49,0,1
21,37,2,17134,1,8,4,8,4,1,1,0,0,19,0,1
22,18,3,2457,10,4,1,12,1,1,0,0,0,39,0,1
23,26,2,4963,8,6,1,11,1,0,0,0,54,39,0,1
24,42,2,4309,1,8,2,2,4,0,1,0,0,39,0,1
26,2,2,8667,1,8,0,10,3,0,0,0,0,39,0,1
28,22,2,18795,1,8,2,1,0,0,0,0,0,76,0,1
29,32,2,11265,1,8,1,10,1,0,0,0,0,39,0,1
30,6,4,10970,12,11,0,3,0,0,0,0,0,51,0,1
31,3,2,15818,11,9,0,9,3,1,0,0,0,43,0,1
32,28,2,19113,0,12,2,1,3,0,0,0,15,39,0,1
33,13,3,1847,11,9,1,0,3,0,0,0,0,39,0,1
34,5,0,17406,11,9,1,8,1,1,0,0,0,14,0,1
35,31,2,14788,8,6,0,13,4,0,0,0,0,39,38,1
36,4,2,11626,11,9,0,13,3,0,0,0,0,39,0,1
37,2,2,20060,1,8,5,0,2,0,1,0,0,24,0,1
39,31,1,15799,12,11,1,7,1,0,0,0,0,39,0,1
40,14,2,19976,10,4,1,13,1,0,0,0,0,42,0,1
41,36,1,2958,0,12,1,7,1,0,0,0,0,39,0,1
42,7,2,9091,0,12,1,2,1,0,0,0,0,49,0,1
43,32,2,3244,1,8,4,0,4,0,1,0,0,39,0,1
44,8,2,16763,1,8,0,6,0,0,0,0,0,34,0,1
46,36,2,6863,1,8,1,13,1,0,0,0,0,37,0,1
47,27,2,5814,9,13,2,1,4,0,1,0,0,39,0,1
48,24,0,3722,13,10,1,10,1,0,0,0,0,39,0,1
49,12,2,16051,13,10,0,7,0,0,0,0,0,42,0,1
50,8,2,513,11,9,1,1,2,4,1,0,0,39,0,1
54,30,5,4375,1,8,2,1,0,0,0,0,0,59,0,1
56,29,2,13258,3,2,1,13,1,0,0,0,0,39,36,1
57,18,2,1710,13,10,1,8,1,0,0,0,0,39,38,1
58,24,2,7069,1,8,1,0,1,0,0,0,0,47,0,1
59,13,2,10691,1,8,1,13,1,0,0,76,0,39,0,1
60,13,2,1834,0,12,1,9,1,0,0,33,0,39,0,1
62,31,2,7225,1,8,1,11,1,0,0,0,0,39,0,1
64,12,2,4041,11,9,2,2,0,0,0,0,0,57,0,1
65,19,2,7641,1,8,1,10,1,0,0,0,0,39,0,1
66,11,2,10159,11,9,2,0,0,0,1,0,0,39,0,1
70,2,2,3712,11,9,0,7,3,0,0,0,0,31,0,1
71,14,2,17370,0,12,4,9,3,1,1,0,0,39,0,1
73,6,2,12904,11,9,0,13,0,0,0,0,0,39,0,1
74,62,2,5562,11,9,1,7,5,0,0,0,0,19,0,1
75,10,2,13073,1,8,0,8,3,0,0,0,0,39,36,1
76,23,2,508,12,11,1,0,1,0,0,0,0,39,0,1
78,1,2,17365,8,6,0,8,3,0,1,0,0,21,0,1
79,14,4,5644,14,3,1,12,1,0,0,0,0,39,0,1
80,1,2,19731,1,8,0,9,0,0,0,0,0,29,0,1
81,35,2,16246,0,12,1,8,1,0,0,0,0,39,1,1
82,29,2,1485,1,8,1,8,2,0,1,0,0,39,0,1
83,42,2,7958,1,8,1,9,1,0,0,0,0,47,0,1
85,36,2,18352,1,8,2,9,3,0,1,0,0,34,0,1
87,16,2,12118,9,13,1,7,1,0,0,0,0,49,0,1
88,13,2,1616,10,4,0,9,0,0,0,0,0,39,0,1
90,40,2,15161,13,10,1,7,1,0,0,0,0,39,0,1
91,20,2,16645,11,9,2,10,4,0,1,0,0,39,0,1
92,11,2,12960,11,9,2,13,4,1,1,0,0,24,0,1
95,12,4,4840,11,9,0,6,0,0,0,0,0,49,0,1
98,31,2,8921,12,11,2,1,4,0,1,0,0,39,40,1
99,15,3,15137,1,8,0,8,3,1,0,0,0,39,0,1
102,30,1,7188,9,13,0,7,0,0,1,0,0,49,0,1
103,3,2,10710,11,9,0,2,3,0,1,0,0,39,0,1
104,12,2,3868,1,8,0,10,0,0,0,0,0,39,0,1
107,13,2,11404,8,6,0,6,3,0,0,0,0,39,0,1
108,14,4,10821,1,8,0,0,0,0,1,0,0,39,0,1
109,25,2,5560,1,8,1,6,1,0,0,0,0,39,0,1
110,7,2,19625,0,12,0,9,5,0,0,0,0,39,0,1
113,11,2,18989,11,9,1,9,2,0,1,65,0,24,0,1
114,19,2,3823,1,8,0,13,3,0,1,0,0,39,0,1
115,36,2,3300,10,4,1,6,1,0,0,0,0,49,0,1
116,39,5,17161,11,9,1,9,1,0,0,0,0,49,0,1
118,38,2,15043,11,9,1,9,1,0,0,0,0,55,0,1
119,5,2,3810,1,8,0,10,0,0,0,0,0,40,0,1
120,4,2,11919,11,9,0,8,3,0,1,0,0,39,0,1
121,23,2,5141,0,12,1,1,1,0,0,0,0,59,0,1
122,13,2,2474,0,12,0,1,3,1,0,0,0,39,3,1
124,2,2,17114,11,9,0,8,3,1,0,0,0,34,0,1
126,3,2,4532,11,9,0,0,3,0,1,0,33,27,0,1
129,22,2,18766,11,9,2,10,0,0,0,0,0,39,0,1
130,11,2,2185,12,11,0,9,0,0,1,0,0,59,0,1
131,7,2,1127,1,8,0,8,0,0,1,0,40,39,0,1
132,21,1,5296,1,8,1,10,1,0,0,67,0,34,0,1
133,20,2,15323,0,12,1,9,1,0,0,0,0,49,0,1
134,29,2,6984,12,11,2,2,0,1,1,0,0,35,0,1
136,26,1,1737,1,8,1,10,1,0,0,0,0,59,0,1
137,10,2,8223,13,10,1,0,2,0,1,0,0,34,0,1
138,3,2,675,11,9,0,9,3,0,0,0,0,19,0,1
140,44,5,2071,1,8,1,10,1,0,0,0,0,39,0,1
141,10,2,14243,11,9,0,9,3,0,1,0,0,39,0,1
142,2,2,17568,11,9,0,8,3,0,0,0,0,29,36,1
144,53,2,4022,11,9,0,2,5,0,0,0,0,39,0,1
145,14,2,10439,1,8,0,11,4,1,1,0,0,29,0,1
146,5,2,9336,11,9,1,8,1,0,0,0,0,23,0,1
147,19,2,4245,1,8,6,8,4,0,1,0,0,23,0,1
148,47,2,9943,8,6,1,10,1,0,0,0,61,39,0,1
150,30,4,10454,11,9,2,0,4,0,1,0,0,37,36,1
151,17,2,11732,1,8,0,0,0,0,1,0,0,39,0,1
152,16,2,8207,0,12,0,1,5,2,1,0,0,39,5,1
153,4,2,16957,1,8,0,10,3,0,0,0,0,34,0,1
155,31,2,10644,1,8,1,10,1,0,0,0,0,45,0,1
156,6,2,13110,0,12,0,6,0,0,0,0,0,39,0,1
157,54,1,19929,11,9,4,9,4,1,0,0,41,1,0,1
158,12,2,11063,1,8,2,10,0,0,0,0,0,59,0,1
159,25,2,13998,0,12,4,8,5,1,0,0,0,49,0,1
161,8,2,15272,1,8,0,8,4,0,1,0,0,39,0,1
162,27,5,2529,9,13,2,1,4,2,1,0,0,39,0,1
163,11,2,2953,1,8,0,1,0,2,1,0,0,39,40,1
165,19,2,12547,11,9,2,8,4,0,1,0,0,39,36,1
166,22,3,14393,12,11,0,1,0,0,0,0,0,41,0,1
167,29,0,3808,9,13,6,3,4,0,0,0,0,39,0,1
168,1,2,154,8,6,0,6,3,0,0,0,0,15,0,1
169,49,4,1639,13,10,6,7,0,0,1,0,0,19,0,1
170,10,2,5581,1,8,0,8,0,0,0,0,51,39,0,1
171,11,0,9330,1,8,1,3,1,0,0,0,0,39,0,1
173,10,2,19598,0,12,0,10,0,0,0,0,0,49,0,1
175,10,2,15311,1,8,3,9,4,0,1,0,0,24,0,1
176,4,2,17452,1,8,0,10,3,1,0,0,0,39,0,1
177,17,2,19901,1,8,0,6,0,1,0,0,0,39,0,1
178,1,2,10252,1,8,0,8,3,0,0,0,0,11,0,1
179,16,2,863,0,12,1,7,1,0,0,0,0,64,0,1
181,26,2,4752,11,9,2,0,0,0,1,0,0,39,0,1
182,13,2,20169,11,9,0,10,0,1,0,0,0,44,0,1
185,17,2,17192,1,8,1,0,1,1,0,0,0,39,0,1
186,24,1,6773,0,12,2,1,0,0,1,0,0,39,0,1
188,14,2,3599,9,13,1,7,2,0,1,0,0,49,0,1
190,21,2,7618,11,9,2,13,0,1,1,0,0,27,0,1
191,7,2,7917,11,9,1,13,1,0,0,0,0,39,0,1
192,24,4,20025,0,12,1,10,1,1,0,0,0,39,0,1
193,30,2,5293,11,9,1,2,1,0,0,0,0,44,0,1
194,24,3,5973,0,12,1,2,1,0,0,0,0,23,0,1
195,6,2,11650,3,2,1,11,5,0,0,0,0,39,36,1
196,19,2,3561,11,9,2,10,0,0,0,0,0,39,0,1
199,7,1,561,1,8,0,9,0,0,0,0,0,39,0,1
200,9,2,19253,9,13,0,7,0,0,1,0,45,39,0,1
203,25,4,15351,11,9,0,7,0,0,1,0,13,39,0,1
204,20,0,1329,1,8,2,0,4,0,1,0,0,34,0,1
205,1,2,6558,8,6,0,9,3,0,1,0,0,39,0,1
207,18,2,807,1,8,2,10,0,0,0,0,0,59,0,1
209,0,2,2031,8,6,0,9,3,0,1,0,0,11,0,1
210,27,4,8039,1,8,1,11,1,1,0,0,0,39,0,1
212,18,2,7517,11,9,0,9,0,3,1,0,0,39,0,1
213,43,2,2852,1,8,1,10,1,2,0,0,0,39,0,1
216,33,2,17460,12,11,2,9,0,0,1,0,0,39,0,1
217,21,2,10089,0,12,1,9,1,0,0,0,0,49,7,1
218,28,2,4347,0,12,1,7,1,0,0,0,0,54,0,1
219,8,2,15362,4,5,0,10,0,0,0,0,0,39,0,1
220,14,2,11699,11,9,1,6,1,0,0,0,0,39,0,1
222,71,2,1490,1,8,0,8,0,1,0,0,64,39,0,1
223,37,2,9491,1,8,1,0,1,1,0,0,0,19,0,1
224,36,4,6564,6,0,0,13,0,0,1,0,0,34,0,1
225,1,2,14835,1,8,0,9,3,0,1,0,0,39,0,1
227,49,1,8594,1,8,1,12,1,0,0,10,0,49,0,1
228,58,2,17484,13,10,6,0,0,0,1,0,0,19,8,1
229,48,2,9511,1,8,2,0,0,0,1,0,0,39,0,1
230,18,2,20047,8,6,4,11,0,1,0,59,0,39,0,1
231,24,2,5950,1,8,2,9,4,1,1,0,0,37,0,1
232,8,2,7933,11,9,0,0,0,0,0,0,0,41,0,1
233,16,2,4478,11,9,2,10,5,4,1,0,0,39,0,1
235,42,0,15949,1,8,1,8,1,0,0,0,0,39,0,1
236,23,0,8880,11,9,0,0,0,0,1,0,0,37,0,1
239,6,2,4829,1,8,0,11,3,0,0,0,0,39,0,1
241,24,1,11519,1,8,1,8,2,0,1,0,0,19,0,1
242,7,0,16148,12,11,1,3,1,0,0,0,0,49,0,1
244,21,2,9775,11,9,2,10,0,0,0,0,38,39,0,1
247,15,2,10250,1,8,0,8,0,0,1,0,0,33,0,1
251,25,2,19169,0,12,1,0,2,1,1,0,0,39,0,1
252,42,4,8942,4,5,6,8,4,1,1,0,0,29,0,1
253,2,4,220,11,9,0,0,3,0,0,0,0,39,0,1
254,41,2,15553,11,9,0,11,0,0,0,0,0,19,0,1
256,3,2,5040,1,8,0,8,3,0,1,0,0,39,0,1
257,15,2,9049,1,8,4,8,0,0,1,0,0,29,0,1
258,28,2,10639,13,10,6,1,0,0,1,0,0,44,0,1
259,33,2,12324,14,3,2,10,0,0,0,0,0,39,0,1
260,19,2,7256,0,12,2,7,3,0,1,0,0,39,0,1
261,28,2,3454,1,8,1,9,1,0,0,0,0,59,0,1
262,0,2,14968,8,6,0,8,3,0,0,0,0,11,0,1
263,42,2,6974,11,9,1,9,1,0,0,65,0,39,0,1
264,9,2,18997,8,6,1,10,1,0,0,0,0,39,0,1
268,16,2,10410,0,12,0,7,0,0,1,0,0,44,0,1
271,0,2,11030,10,4,0,8,3,0,0,6,0,23,0,1
272,33,1,399,9,13,1,12,1,0,0,33,0,92,0,1
273,10,4,12698,9,13,0,7,3,0,0,0,0,34,0,1
274,13,2,2209,1,8,2,7,3,0,1,0,0,39,0,1
275,26,2,19877,1,8,1,6,1,1,0,0,0,39,0,1
277,18,2,10912,11,9,0,1,0,0,1,0,0,39,0,1
278,8,2,11303,11,9,0,2,3,0,1,0,0,39,0,1
280,5,2,723,0,12,0,7,0,0,1,0,0,14,3,1
282,17,2,9342,12,11,2,9,4,1,1,0,0,44,0,1
283,43,2,9180,0,12,2,7,0,0,1,0,0,41,0,1
284,4,2,12430,1,8,0,6,3,0,0,0,0,39,0,1
287,33,2,9483,11,9,2,8,0,0,0,0,0,44,0,1
288,8,2,18865,0,12,0,1,0,0,1,0,0,39,0,1
289,33,2,11312,14,3,1,10,1,0,0,0,0,39,11,1
290,19,2,11954,0,12,1,7,1,0,0,0,0,44,0,1
291,14,2,5760,1,8,2,7,0,0,1,0,0,39,0,1
292,12,4,13509,0,12,0,3,0,0,0,0,0,55,0,1
293,4,2,14204,11,9,0,9,3,0,0,0,0,44,0,1
294,10,2,15087,0,12,0,2,4,1,1,0,0,39,0,1
295,48,2,4485,1,8,1,11,1,0,0,0,0,15,0,1
296,20,5,1756,0,12,2,9,0,0,1,0,0,59,0,1
298,7,2,16307,1,8,0,10,3,0,0,0,0,39,0,1
299,21,2,8770,1,8,2,9,0,0,0,0,0,76,0,1
301,4,2,7514,11,9,0,8,0,2,1,0,0,24,0,1
304,7,2,17167,11,9,1,0,2,2,1,0,0,39,13,1
305,26,2,9121,1,8,2,0,0,0,1,0,0,39,0,1
306,9,2,11315,12,11,0,2,0,0,0,0,0,44,0,1
307,29,2,2719,12,11,0,7,0,0,1,0,0,32,0,1
310,9,2,1825,0,12,0,9,0,0,0,0,0,39,0,1
314,5,2,11897,11,9,0,9,3,0,0,0,0,14,0,1
315,7,2,11102,11,9,0,13,0,0,0,0,0,39,0,1
316,60,1,6471,11,9,1,9,1,0,0,0,0,39,0,1
317,5,2,19281,3,2,1,13,5,0,1,0,0,39,36,1
318,12,2,19552,11,9,0,2,0,0,1,0,0,39,0,1
319,45,2,7945,1,8,6,8,0,0,1,0,0,23,0,1
320,22,1,9217,1,8,1,1,1,0,0,0,0,39,0,1
321,26,2,1427,11,9,1,10,1,0,0,0,17,49,0,1
322,18,2,10461,1,8,2,11,0,0,0,0,0,44,0,1
323,12,2,11959,8,6,0,1,0,0,1,0,0,39,0,1
324,59,1,9218,9,13,1,10,1,0,0,0,0,9,0,1
325,46,1,2530,1,8,1,12,1,0,0,0,0,44,0,1
328,41,1,17686,1,8,1,6,1,0,0,0,0,39,0,1
329,49,2,5787,1,8,0,11,0,0,0,21,0,54,0,1
330,24,2,12502,11,9,0,10,0,1,0,0,0,44,0,1
331,9,2,13756,0,12,0,0,0,0,0,0,0,39,0,1
332,30,2,9715,13,10,0,8,0,0,0,0,0,39,0,1
333,38,4,3478,4,5,1,0,1,0,0,0,0,39,0,1
334,36,2,14801,1,8,1,11,1,0,0,0,0,39,0,1
335,0,2,16032,3,2,0,8,5,0,0,0,0,47,36,1
336,13,2,3222,1,8,0,10,5,0,0,0,0,39,0,1
337,32,2,2242,9,13,0,7,0,0,0,0,0,59,0,1
338,2,2,3928,1,8,0,9,4,1,0,0,0,29,15,1
339,28,2,15632,1,8,1,8,1,1,0,0,0,39,0,1
340,9,2,3255,12,11,0,9,0,0,0,0,0,39,0,1
343,16,2,2819,1,8,0,12,0,0,0,0,0,19,0,1
344,5,0,16868,11,9,0,3,3,1,1,0,0,39,0,1
345,26,1,14765,0,12,0,9,0,0,0,0,0,41,0,1
348,39,2,3680,12,11,3,8,0,0,0,0,0,24,4,1
349,14,2,7698,0,12,0,7,3,0,0,0,0,24,0,1
351,9,2,11134,1,8,1,8,1,0,0,0,0,39,0,1
353,29,4,17902,8,6,1,11,1,0,0,0,0,29,0,1
356,48,2,8072,8,6,6,8,4,4,0,0,0,39,0,1
358,25,2,4546,1,8,1,0,2,0,1,0,0,34,0,1
359,9,1,4969,10,4,1,10,1,0,0,0,0,39,16,1
360,19,2,18399,4,5,1,8,2,0,1,0,0,23,0,1
362,26,2,9888,0,12,1,11,1,0,0,0,0,44,0,1
364,5,2,19428,1,8,3,9,0,0,0,0,0,54,0,1
365,11,2,3134,1,8,1,10,1,0,0,0,0,39,0,1
